Country Name,Fertility Rate
Niger,7.557555556
Somalia,7.233507937
"Yemen, Rep.",6.981761905
Afghanistan,6.959873016
Mali,6.908936508
Chad,6.860428571
Angola,6.795460317
Burundi,6.795190476
South Sudan,6.640444444
Uganda,6.608952381
Rwanda,6.550873016
"Congo, Dem. Rep.",6.483507937
Cote d'Ivoire,6.477793651
Burkina Faso,6.431809524
Ethiopia,6.397460317
Andorra,1.226
San Marino,1.26
Liechtenstein,1.497826087
Germany,1.593253968
Japan,1.634603175
Italy,1.655555556
Luxembourg,1.658688525
Channel Islands,1.672539683
Ukraine,1.684888889
Hungary,1.685396825
Latvia,1.690952381
Switzerland,1.692857143
Serbia,1.693936508
Greece,1.715238095
Croatia,1.718126984
