Country Name,Population Growth
Ukraine,-8.423007774
Bulgaria,-3.006020108
Moldova,-2.842742127
Albania,-1.148417638
Kosovo,-0.665635964
Sri Lanka,-0.65132077
Serbia,-0.621120944
Germany,-0.620053755
Bosnia and Herzegovina,-0.617510129
Hungary,-0.542624252
Belarus,-0.540824986
Japan,-0.487370782
Dominica,-0.473991408
Virgin Islands (U.S.),-0.471640678
Puerto Rico,-0.448878435
Tonga,-0.424539965
Poland,-0.365658527
Oman,6.527049885
Kuwait,5.588136781
Syrian Arab Republic,4.918615268
Singapore,4.858316078
Chad,4.573992134
South Sudan,4.108164632
United Arab Emirates,3.977170975
Malta,3.91764986
Bahrain,3.376864177
Saudi Arabia,3.328779395
Niger,3.294891758
"Congo, Dem. Rep.",3.259635143
Angola,3.080655307
Somalia,3.079392196
"Yemen, Rep.",3.009807657
Mali,2.974005376
Mauritania,2.966530792
Mozambique,2.95358093
